_H:	|batch	|epoch	%avg_sse	%cnt_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%fsa_err_sum
_D:	3	306	0.77781	76	0	29.2472	3.75	3.63	3
_D:	3	307	0.817066	80	0	28.691	3.52	3.46	2
_D:	3	308	0.726785	73	0	30.7557	3.75	3.69	3
_D:	3	309	0.764168	75	0	28.8807	3.48	3.38	2
_D:	3	310	0.804775	69	0	29.5577	3.24	3.19	2
_D:	3	311	0.721832	63	0	29.4295	3.12	3.04	2
_D:	3	312	0.783964	79	0	30.4076	4.03	3.96	2
_D:	3	313	0.806899	82	0	31.1087	3.84	3.77	3
_D:	3	314	0.884721	84	0	31.2544	3.71	3.62	3
_D:	3	315	0.867192	82	0	33.1065	3.64	3.57	4
_D:	3	316	0.715236	69	0	31.3621	3.89	3.85	3
_D:	3	317	0.813919	77	0	31.4713	3.67	3.59	3
_D:	3	318	0.837717	86	0	28.0161	3.81	3.75	3
_D:	3	319	0.797555	83	0	27.9839	3.64	3.59	3
_D:	3	320	0.878037	90	0	27.7105	3.9	3.85	3
_D:	3	321	0.780748	84	0	29.5895	3.87	3.81	2
_D:	3	322	0.770984	73	0	28.4142	3.54	3.48	2
_D:	3	323	0.775139	74	0	30.3018	3.42	3.36	2
_D:	3	324	0.881349	89	0	28.2896	3.7	3.62	2
_D:	3	325	0.758677	75	0	27.1202	3.48	3.41	3
_D:	3	326	0.762246	65	0	30.2895	3.29	3.22	1
_D:	3	327	0.850925	74	0	31.2895	3.24	3.16	1
_D:	3	328	0.828569	88	0	30.6526	4.12	4.06	4
_D:	3	329	0.777249	82	0	31.2579	3.93	3.88	3
_D:	3	330	0.899908	87	0	30.6494	3.83	3.74	3
_D:	3	331	0.900253	88	0	33.6839	3.84	3.76	2
_D:	3	332	0.85201	93	0	31.9391	4.4	4.35	3
_D:	3	333	0.832304	94	0	30.9797	4.11	4.04	3
_D:	3	334	0.857662	78	0	30.2788	3.56	3.54	1
_D:	3	335	0.871211	79	0	31.2788	3.42	3.38	4
_D:	3	336	0.745324	85	0	29.7295	4.45	4.35	4
_D:	3	337	0.857806	98	0	28.8889	4.16	4.1	2
_D:	3	338	0.855372	86	0	30.623	4.01	3.95	3
_D:	3	339	0.871961	89	0	31.5464	3.79	3.76	4
_D:	3	340	0.869983	88	0	29.5956	3.86	3.81	3
_D:	3	341	0.769553	78	0	27.2842	3.47	3.41	0
_D:	3	342	0.738147	74	0	30.3222	3.97	3.89	3
_D:	3	343	0.667997	66	0	30.1	3.67	3.61	3
_D:	3	344	0.758464	67	0	30.7261	3.4	3.37	1
_D:	3	345	0.799606	68	0	29.3631	3.08	3	3
_D:	3	346	0.789458	78	0	29.3743	3.72	3.66	1
_D:	3	347	0.731815	73	0	29.5475	3.54	3.46	4
_D:	3	348	0.733525	67	0	28.8545	3.39	3.35	1
_D:	3	349	0.715595	67	0	29.7818	3.3	3.23	3
_D:	3	350	0.767156	72	0	29.256	3.45	3.41	2
_D:	3	351	0.792164	73	0	29.756	3.28	3.24	4
_D:	3	352	0.757172	90	0	29.771	4.48	4.41	2
_D:	3	353	0.818964	99	0	29.4907	4.26	4.2	1
_D:	3	354	0.802879	76	0	29.1919	3.54	3.5	2
_D:	3	355	0.770115	72	0	28.2035	3.32	3.24	2
_D:	3	356	0.951724	89	0	30.1111	3.67	3.64	3
_D:	3	357	0.778402	75	0	29.5556	3.42	3.35	2
_D:	3	358	0.772103	77	0	29.2247	3.72	3.66	2
_D:	3	359	0.865041	86	0	29.3202	3.56	3.48	1
_D:	3	360	0.779868	76	0	31.7586	3.84	3.78	3
_D:	3	361	0.75766	74	0	31.3966	3.61	3.56	1
_D:	3	362	0.851655	89	0	30.0053	3.97	3.89	1
_D:	3	363	0.781735	82	0	31.0266	3.87	3.8	4
_D:	3	364	0.767162	76	0	28.9218	3.77	3.68	0
_D:	3	365	0.779394	76	0	29.9106	3.65	3.61	4
_D:	3	366	0.752774	74	0	29.8222	3.78	3.73	2
_D:	3	367	0.786173	77	0	28.7	3.47	3.41	3
_D:	3	368	0.717844	73	0	25.9947	3.67	3.6	2
_D:	3	369	0.745328	76	0	27.385	3.54	3.48	4
_D:	3	370	0.841303	85	0	27.6201	3.65	3.59	2
_D:	3	371	0.838094	82	0	30.2235	3.64	3.58	1
_D:	3	372	0.805316	81	0	31.5083	4.03	3.95	4
_D:	3	373	0.782358	77	0	29.6851	3.59	3.51	2
_D:	3	374	0.777508	72	0	31.2229	3.62	3.57	3
_D:	3	375	0.816072	75	0	29.253	3.39	3.31	0
_D:	3	376	0.844959	78	0	31.0988	3.54	3.47	2
_D:	3	377	0.693356	62	0	29.2469	3.23	3.17	0
_D:	3	378	0.702329	73	0	28.2378	3.76	3.68	1
_D:	3	379	0.856469	86	0	26.6541	3.5	3.44	4
_D:	3	380	0.786109	77	0	30.0339	3.81	3.76	2
_D:	3	381	0.689509	68	0	28.1017	3.46	3.4	2
_D:	3	382	0.834349	86	0	29.555	4.05	3.99	1
_D:	3	383	0.795088	84	0	30.9529	4	3.95	3
_D:	3	384	0.843973	88	0	29.1383	3.95	3.87	5
_D:	3	385	0.822403	84	0	29.5319	3.81	3.75	1
_D:	3	386	0.811121	78	0	30.436	3.65	3.58	3
_D:	3	387	0.846637	80	0	29.7267	3.42	3.35	3
_D:	3	388	0.772435	65	0	26.0649	3.02	2.98	0
_D:	3	389	0.69067	59	0	28.026	2.96	2.91	3
_D:	3	390	0.738953	68	0	30.4756	3.48	3.41	3
_D:	3	391	0.775188	69	0	29.5732	3.28	3.21	2
_D:	3	392	0.827846	77	0	28.9591	3.51	3.45	2
_D:	3	393	0.867899	81	0	29.6257	3.39	3.32	2
_D:	3	394	0.843553	82	0	27.8728	3.51	3.46	1
_D:	3	395	0.723399	69	0	29.5665	3.42	3.33	1
_D:	3	396	0.826071	79	0	28.5429	3.66	3.58	2
_D:	3	397	0.763404	74	0	29.5143	3.5	3.46	2
_D:	3	398	0.838674	74	0	29.475	3.43	3.36	3
_D:	3	399	0.833155	73	0	29.0125	3.31	3.23	2
_D:	3	400	0.859913	103	0	30.9615	4.51	4.44	3
_D:	3	401	0.843925	96	0	30.4087	4.31	4.24	2
_D:	3	402	0.783282	76	0	31.3184	4	3.91	2
_D:	3	403	0.842921	82	0	30.1061	3.75	3.67	2
_D:	3	404	0.861445	75	0	31.4968	3.44	3.4	2
_D:	3	405	0.744579	65	0	31.4839	3.36	3.31	1
_D:	3	406	0.811062	88	0	31.0259	4.24	4.16	2
_D:	3	407	0.785538	85	0	30.9275	3.97	3.91	1
_D:	3	408	0.907066	96	0	31.2032	4.15	4.05	2
_D:	3	409	0.858115	90	0	29.9679	3.86	3.77	1
_D:	3	410	0.924582	92	0	31.4208	4.16	4.1	3
_D:	3	411	0.777552	78	0	30.3552	3.85	3.75	2
_D:	3	412	0.85857	85	0	29.9045	3.8	3.74	2
_D:	3	413	0.917861	91	0	28.5281	3.5	3.46	3
_D:	3	414	0.796616	85	0	29.836	3.98	3.89	3
_D:	3	415	0.760229	79	0	30.037	3.91	3.85	2
_D:	3	416	0.843038	76	0	27.9565	3.22	3.18	3
_D:	3	417	0.74364	66	0	26.8944	3.05	3.01	3
_D:	3	418	0.70076	78	0	28.0204	3.94	3.86	1
_D:	3	419	0.728218	77	0	25.3367	3.51	3.47	3
_D:	3	420	0.798145	68	0	27.8397	3.1	3.07	2
_D:	3	421	0.777729	66	0	28.0513	2.97	2.9	1
_D:	3	422	0.762399	66	0	26.6051	3.09	3.04	3
_D:	3	423	0.696081	59	0	25.8217	2.86	2.79	3
_D:	3	424	0.79553	79	0	26.6111	3.52	3.45	1
_D:	3	425	0.730999	71	0	25.9722	3.27	3.21	2
_D:	3	426	0.794055	83	0	27.8368	3.79	3.73	3
_D:	3	427	0.72883	75	0	26.4211	3.55	3.5	2
_D:	3	428	0.767343	71	0	26.2395	3.31	3.25	3
_D:	3	429	0.74235	68	0	26.7665	3.08	3.01	4
_D:	3	430	0.874885	79	0	28.1928	3.36	3.3	1
