_H:	|batch	|epoch	%avg_sse	%cnt_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr
_D:	0	226	0.15076	52	0	34.7362	122.63	121.98
_D:	0	227	0.159053	53	0	34.3654	121.5	120.78
_D:	0	228	0.169913	73	0	34.6734	121.8	121.19
_D:	0	229	0.156594	47	0	34.6085	116.26	115.72
_D:	0	230	0.113285	66	0	34.4157	124.02	123.36
_D:	0	231	0.0968711	60	0	34.4878	121.13	120.47
_D:	0	232	0.19354	74	0	35.8029	113.69	113.09
_D:	0	233	0.115991	75	0	34.8993	123.23	122.52
_D:	0	234	0.156962	54	0	34.8568	121.1	120.41
_D:	0	235	0.144773	72	0	35.2196	132.23	131.5
_D:	0	236	0.14694	63	0	35.0294	129.31	128.53
_D:	0	237	0.144522	62	0	35.4088	112.91	112.25
_D:	0	238	0.124311	71	0	34.7954	121.74	121.1
_D:	0	239	0.206238	69	0	35.0308	118.4	117.8
_D:	0	240	0.161318	64	0	35.4987	124.89	124.18
_D:	0	241	0.147345	64	0	35.3575	128.32	127.62
_D:	0	242	0.208849	69	0	35.1633	122.86	122.18
_D:	0	243	0.130845	58	0	35.6083	124.7	123.98
_D:	0	244	0.191799	74	0	35.6611	119.02	118.29
_D:	0	245	0.167082	67	0	35.4548	126.82	126.04
_D:	0	246	0.0950062	59	0	35.7154	123.12	122.45
_D:	0	247	0.228821	74	0	35.4763	115.97	115.28
_D:	0	248	0.136858	44	0	35.1228	114.77	114.09
_D:	0	249	0.171007	67	0	35.989	121.88	121.22
_D:	0	250	0.162701	57	0	35.6634	117.75	117.13
_D:	0	251	0.146299	68	0	34.9516	119.41	118.71
_D:	0	252	0.111084	55	0	35.2808	114.62	113.98
_D:	0	253	0.0991272	62	0	36.0417	116.35	115.66
_D:	0	254	0.123089	59	0	35.8227	117.64	116.96
_D:	0	255	0.0819861	55	0	35.5162	112.57	111.96
_D:	0	256	0.150129	59	0	35.428	123.41	122.62
_D:	0	257	0.139147	62	0	35.8865	117.73	116.95
_D:	0	258	0.116616	65	0	36.1336	123.94	123.28
_D:	0	259	0.102507	58	0	35.2795	118.05	117.31
_D:	0	260	0.0900621	66	0	35.389	120.34	119.62
_D:	0	261	0.162908	65	0	35.5802	119.28	118.71
_D:	0	262	0.131541	77	0	36.24	121.46	120.75
_D:	0	263	0.106723	63	0	35.8097	120.05	119.36
_D:	0	264	0.122741	69	0	35.4159	119.24	118.57
_D:	0	265	0.117478	56	0	34.5915	123.02	122.33
_D:	0	266	0.100296	61	0	35.5864	121.93	121.27
_D:	0	267	0.0971624	57	0	35.0651	113.95	113.46
_D:	0	268	0.0952015	62	0	36.0112	118.95	118.27
_D:	0	269	0.0692548	59	0	35.7417	125.06	124.31
_D:	0	270	0.0808091	48	0	35.3606	115.52	114.91
_D:	0	271	0.0918904	57	0	35.7599	121.92	121.19
_D:	0	272	0.204797	68	0	36.1904	111.41	110.77
_D:	0	273	0.115022	65	0	35.8518	123.7	122.93
_D:	0	274	0.118646	68	0	35.8993	122.54	121.82
_D:	0	275	0.0842034	54	0	35.8194	120.01	119.24
_D:	0	276	0.159365	69	0	35.9434	123.91	123.19
_D:	0	277	0.125977	72	0	35.4821	115.77	115.07
_D:	0	278	0.11439	63	0	35.3978	122.34	121.59
_D:	0	279	0.134167	70	0	36.238	122.34	121.68
_D:	0	280	0.0989254	68	0	36.0652	120.08	119.34
_D:	0	281	0.114218	51	0	35.4654	115.08	114.41
_D:	0	282	0.0829953	65	0	35.8412	123.75	123.02
_D:	0	283	0.127142	58	0	35.6709	118.03	117.32
_D:	0	284	0.135554	63	0	35.9538	115.63	114.93
_D:	0	285	0.166671	59	0	36.1408	116.24	115.52
_D:	0	286	0.109804	57	0	36.1048	117.84	117.09
_D:	0	287	0.116111	65	0	35.4362	124.48	123.86
_D:	0	288	0.113934	69	0	36.7047	125.33	124.56
_D:	0	289	0.0778247	63	0	35.478	128.22	127.51
_D:	0	290	0.123323	75	0	35.7986	121.52	120.75
_D:	0	291	0.113209	57	0	36.1559	118.84	118.21
_D:	0	292	0.124485	64	0	35.8234	114.93	114.23
_D:	0	293	0.162151	81	0	36.2931	123.1	122.32
_D:	0	294	0.124883	64	0	35.7682	125.43	124.75
_D:	0	295	0.121228	64	0	35.7551	121.37	120.64
_D:	0	296	0.104371	48	0	35.0212	116.61	115.94
_D:	0	297	0.110946	69	0	36.7113	119.33	118.71
_D:	0	298	0.116132	55	0	35.5438	121.04	120.37
_D:	0	299	0.119329	60	0	36.2817	124.08	123.41
