_H:	|batch	|epoch	%avg_sse	%cnt_err	%test_cnt_err	%test_avg_sse	%avg_cycles	%epoch_time_tot	%epoch_time_usr
_D:	0	271	0.168248	108	7	0.0956854	39.3918	6.59	6.53
_D:	0	272	0.165089	106	13	0.171497	38.9925	6.72	6.65
_D:	0	273	0.18353	125	7	0.087685	39.3262	6.68	6.62
_D:	0	274	0.127653	85	12	0.164383	39.358	6.66	6.61
_D:	0	275	0.153412	97	17	0.230169	38.5703	6.64	6.53
_D:	0	276	0.213665	142	12	0.16475	39.8845	6.6	6.5
_D:	0	277	0.177842	120	15	0.205815	39.4513	6.63	6.57
_D:	0	278	0.159636	107	18	0.244664	39.2052	6.68	6.6
_D:	0	279	0.154041	103	10	0.137035	39.4822	6.57	6.52
_D:	0	280	0.146932	97	15	0.204129	39.205	6.7	6.65
_D:	0	281	0.133808	87	7	0.0940901	38.9734	6.63	6.56
_D:	0	282	0.126577	83	20	0.27013	38.9277	6.7	6.62
_D:	0	283	0.182174	119	14	0.190111	39.2961	6.61	6.54
_D:	0	284	0.149238	98	16	0.213069	39.2207	6.63	6.53
_D:	0	285	0.114989	75	19	0.258267	39.2387	6.65	6.6
_D:	0	286	0.184307	128	14	0.187781	39.4738	6.72	6.65
_D:	0	287	0.150335	100	27	0.366721	39.467	6.7	6.63
_D:	0	288	0.170282	113	24	0.323621	39.3857	6.73	6.67
_D:	0	289	0.146027	95	21	0.286061	39.1596	6.7	6.62
_D:	0	290	0.183167	117	9	0.122361	39.3336	6.69	6.62
_D:	0	291	0.125827	83	16	0.218892	39.183	6.69	6.63
_D:	0	292	0.139287	91	16	0.21915	39.1623	6.67	6.59
_D:	0	293	0.162333	109	17	0.233287	39.4364	6.65	6.58
_D:	0	294	0.134603	88	11	0.150846	38.9886	6.59	6.54
_D:	0	295	0.1515	97	13	0.166187	38.9752	6.65	6.59
_D:	0	296	0.122282	79	11	0.148522	38.981	6.69	6.6
_D:	0	297	0.178334	119	14	0.190025	39.9514	6.67	6.61
_D:	0	298	0.115208	77	21	0.285531	39.0807	6.72	6.65
_D:	0	299	0.148128	99	19	0.258016	39.793	6.66	6.6
_D:	0	300	0.167495	111	15	0.203888	39.587	6.64	6.56
_D:	0	301	0.167175	112	12	0.164566	39.4155	6.67	6.6
_D:	0	302	0.145257	94	11	0.148914	39.8732	6.68	6.61
_D:	0	303	0.156802	102	11	0.149548	39.5368	6.76	6.68
_D:	0	304	0.114359	71	23	0.314208	39.2584	6.69	6.65
_D:	0	305	0.150486	97	12	0.164199	39.4619	6.69	6.63
_D:	0	306	0.223903	146	11	0.148964	40.0383	6.79	6.7
_D:	0	307	0.161992	107	18	0.247532	39.9468	6.67	6.59
_D:	0	308	0.158391	106	11	0.148977	39.9019	6.71	6.65
_D:	0	309	0.14552	96	19	0.260421	39.6341	6.75	6.64
_D:	0	310	0.186631	132	13	0.177664	40.1184	6.8	6.72
_D:	0	311	0.159317	108	16	0.219253	39.652	6.78	6.73
_D:	0	312	0.182532	123	14	0.186584	40.0637	6.77	6.71
_D:	0	313	0.145387	95	10	0.13673	39.6819	6.72	6.66
_D:	0	314	0.166022	111	21	0.285494	39.9037	6.82	6.74
_D:	0	315	0.14876	100	16	0.219525	39.7292	6.77	6.67
_D:	0	316	0.173831	115	17	0.229986	40.1227	6.76	6.65
_D:	0	317	0.173978	114	15	0.202812	40.0476	6.79	6.73
_D:	0	318	0.153289	101	20	0.268866	39.8659	6.69	6.64
_D:	0	319	0.12689	84	17	0.224248	39.7052	6.73	6.63
_D:	0	320	0.196952	134	14	0.190682	40.3569	6.79	6.72
_D:	0	321	0.155543	107	10	0.136992	40.0306	6.73	6.64
_D:	0	322	0.168281	115	17	0.221644	40.2211	6.76	6.65
_D:	0	323	0.183621	123	19	0.258934	40.2139	6.84	6.72
_D:	0	324	0.162602	102	15	0.204061	40.0773	6.8	6.73
_D:	0	325	0.170101	111	18	0.24169	40.0265	6.75	6.7
_D:	0	326	0.139277	89	13	0.17512	39.8059	6.71	6.62
_D:	0	327	0.127318	83	11	0.148485	39.9709	6.72	6.66
_D:	0	328	0.142016	95	22	0.300451	39.4917	6.81	6.76
_D:	0	329	0.157101	107	18	0.244397	39.7225	6.73	6.67
_D:	0	330	0.170739	113	23	0.310827	40.2989	6.87	6.78
_D:	0	331	0.194986	129	17	0.229561	40.3491	6.82	6.76
_D:	0	332	0.156653	108	16	0.217363	39.9101	6.81	6.77
_D:	0	333	0.167843	114	16	0.216434	39.8699	6.82	6.72
