_H:	|batch	|epoch	%avg_sse	%cnt_err	%sum_name_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%Ortho__Fm_Ortho_net_rel	%Ortho__Fm_Hidden_net_rel	%Hidden_Fm_Phon_net_rel	%Hidden_Fm_Ortho__net_rel	%Ortho__net_max	%Hidden_net_max	%Phon_net_max	%max_Hidden_act_avg	%max_Ortho__act_avg
_D:	0	98	2.08385	451	383	0	45.1202	168.85	167.68	0.495585	0.504415	0.530637	0.469363	0.464814	0.428201	0.589797	0.88856	0.267504
_D:	0	99	1.70208	407	304	0	43.7617	165.99	164.92	0.492165	0.507835	0.525733	0.474267	0.46122	0.430511	0.59067	0.884727	0.330372
_D:	0	100	1.6375	395	322	0	43.7719	162.89	160.85	0.492215	0.507785	0.527077	0.472923	0.467529	0.429705	0.598318	0.880873	0.319042
_D:	0	101	1.47731	379	296	0	43.7207	168.3	166.07	0.48843	0.51157	0.524317	0.475683	0.466983	0.430997	0.606375	0.877894	0.341931
_D:	0	102	1.39977	398	309	0	44.2727	171.34	169.27	0.487826	0.512174	0.527515	0.472485	0.467212	0.429515	0.593325	0.880892	0.339148
_D:	0	103	1.62325	376	310	0	43.8244	164.68	162.63	0.485084	0.514916	0.522049	0.477951	0.467901	0.430171	0.597089	0.878466	0.342718
_D:	0	104	1.5797	376	303	0	43.2404	174.72	172.61	0.482217	0.517783	0.521309	0.478691	0.468554	0.430941	0.597714	0.867974	0.330647
_D:	0	105	1.58418	339	275	0	43.7861	171.87	169.73	0.483822	0.516178	0.527678	0.472321	0.47289	0.427758	0.600796	0.864429	0.314357
_D:	0	106	1.57873	333	276	0	43.2743	170.64	168.62	0.482063	0.517937	0.518611	0.481389	0.468749	0.428211	0.584563	0.862683	0.340249
_D:	0	107	1.74849	393	325	0	44.0738	173.73	171.52	0.482776	0.517224	0.52126	0.47874	0.468933	0.424366	0.584974	0.855112	0.372005
_D:	0	108	1.30542	345	278	0	43.036	172.2	169.94	0.48174	0.51826	0.520526	0.479474	0.470368	0.42522	0.584762	0.859883	0.304526
_D:	0	109	1.66253	358	302	0	43.7714	171.76	169.84	0.483793	0.516207	0.523248	0.476752	0.472924	0.423305	0.587288	0.849808	0.279879
_D:	0	110	1.40132	337	289	0	43.6406	168.18	166.1	0.477222	0.522778	0.516927	0.483073	0.466309	0.426052	0.586368	0.849176	0.299524
_D:	0	111	1.63996	298	252	0	43.3542	160.6	158.58	0.482239	0.517761	0.521783	0.478217	0.469629	0.421469	0.586156	0.845812	0.270607
_D:	0	112	1.5889	321	282	0	44.0085	164.85	162.82	0.480125	0.519875	0.519514	0.480486	0.465853	0.42173	0.583525	0.846634	0.271525
_D:	0	113	1.58571	335	282	0	43.3573	170.48	168.44	0.482932	0.517068	0.523905	0.476095	0.469655	0.419544	0.585384	0.837796	0.252686
_D:	0	114	1.5153	309	271	0	42.9927	165.72	163.54	0.483881	0.51612	0.524433	0.475567	0.466863	0.418185	0.582839	0.837772	0.260671
_D:	0	115	1.57312	327	282	0	43.7362	172.04	170.11	0.48216	0.51784	0.524755	0.475245	0.467651	0.417711	0.583801	0.843595	0.256484
_D:	0	116	1.47024	334	293	0	43.3691	176.77	174.02	0.482515	0.517485	0.524692	0.475308	0.467164	0.4171	0.582225	0.835324	0.263558
_D:	0	117	1.6341	315	267	0	43.7955	169.32	166.97	0.482116	0.517884	0.522	0.478	0.463292	0.41904	0.579597	0.83761	0.276117
_D:	0	118	1.84793	353	305	0	44.7505	174.11	171.84	0.483449	0.516551	0.523896	0.476104	0.464329	0.416304	0.574923	0.829912	0.267578
_D:	0	119	1.70952	359	315	0	44.6086	184.34	182.02	0.484973	0.515027	0.52267	0.47733	0.463298	0.414629	0.569791	0.830752	0.282888
_D:	0	120	1.96302	329	283	0	44.6322	161.23	159.32	0.484475	0.515525	0.521036	0.478964	0.463051	0.413722	0.569073	0.844216	0.268915
_D:	0	121	1.50019	318	282	0	43.8218	165.32	163.24	0.484077	0.515923	0.521458	0.478542	0.460795	0.412924	0.568801	0.831652	0.280207
_D:	0	122	1.69429	312	275	0	43.8946	160.72	158.64	0.485519	0.514481	0.523315	0.476685	0.461603	0.410982	0.567856	0.833894	0.308056
_D:	0	123	1.73552	329	287	0	44.114	169.7	167.47	0.486115	0.513885	0.524099	0.475901	0.460449	0.407139	0.5661	0.844099	0.302579
_D:	0	124	1.51294	293	255	0	44.0786	165.06	163.15	0.487208	0.512792	0.525497	0.474503	0.462135	0.405952	0.56871	0.857268	0.288309
_D:	0	125	1.51853	302	261	0	43.8866	170.3	168.08	0.487802	0.512198	0.520274	0.479726	0.460458	0.405309	0.564948	0.852405	0.245791
_D:	0	126	1.54593	321	273	0	43.8136	168.7	166.7	0.486075	0.513925	0.520417	0.479583	0.457832	0.40598	0.566551	0.842772	0.258815
_D:	0	127	1.42183	304	263	0	43.9811	174.19	172.12	0.488927	0.511073	0.521469	0.478531	0.457929	0.403825	0.563193	0.859551	0.288882
_D:	0	128	1.63485	297	269	0	44.6697	171.54	169.04	0.489923	0.510077	0.524227	0.475773	0.459041	0.400419	0.56377	0.844286	0.248071
_D:	0	129	1.51257	301	269	0	44.3155	164.56	162.93	0.489438	0.510562	0.522235	0.477765	0.456822	0.402929	0.5629	0.847117	0.24907
_D:	0	130	1.42788	302	255	0	44.145	169.56	167.33	0.486667	0.513333	0.518928	0.481072	0.454244	0.402298	0.563373	0.860315	0.298475
_D:	0	131	1.66155	300	267	0	44.3459	169.51	167.48	0.490881	0.509119	0.522473	0.477527	0.456099	0.400181	0.564786	0.842299	0.327909
_D:	0	132	1.65225	320	278	0	45.1985	168.06	165.88	0.490361	0.509639	0.521902	0.478098	0.456525	0.399687	0.561451	0.858395	0.269709
_D:	0	133	1.4677	302	268	0	44.2521	166.39	164.32	0.489585	0.510415	0.521868	0.478132	0.455266	0.407896	0.56103	0.854611	0.266419
_D:	0	134	1.65299	314	283	0	44.3841	170	167.75	0.491248	0.508752	0.522236	0.477764	0.455193	0.406675	0.559423	0.846641	0.262353
_D:	0	135	1.79562	316	275	0	44.1998	160.64	158.73	0.488517	0.511482	0.519361	0.480639	0.449871	0.407709	0.558978	0.855301	0.257435
_D:	0	136	1.55234	312	282	0	44.4742	165.96	163.89	0.491773	0.508227	0.523294	0.476706	0.4543	0.405395	0.558523	0.874071	0.313884
_D:	0	137	1.36388	300	254	0	44.259	170.57	168.26	0.491947	0.508053	0.524188	0.475812	0.456349	0.406104	0.563353	0.867415	0.252904
_D:	0	138	1.41948	292	258	0	44.3399	163.99	161.98	0.491364	0.508636	0.526837	0.473163	0.453193	0.405142	0.560762	0.866041	0.318333
_D:	0	139	1.28069	267	231	0	44.0657	161.5	159.47	0.490057	0.509943	0.519931	0.480069	0.450865	0.404359	0.559794	0.868522	0.26801
_D:	0	140	1.18278	267	221	0	43.1156	166.91	164.87	0.489703	0.510297	0.520276	0.479724	0.450458	0.406072	0.562441	0.881336	0.282348
_D:	0	141	1.14106	266	224	0	42.8786	171.14	168.77	0.490779	0.509221	0.524989	0.475011	0.45481	0.40426	0.568994	0.871841	0.277806
_D:	0	142	1.04902	252	215	0	43.51	159.39	157.31	0.489916	0.510085	0.5272	0.4728	0.453753	0.404923	0.57349	0.870352	0.297166
_D:	0	143	1.06382	231	197	0	42.7909	154.45	152.49	0.488002	0.511997	0.522423	0.477577	0.45322	0.40478	0.574029	0.878145	0.290538
_D:	0	144	1.31295	273	236	0	43.8809	169.02	166.94	0.49059	0.50941	0.525132	0.474868	0.45747	0.401082	0.577869	0.876761	0.315629
_D:	0	145	1.47511	263	220	0	44.0104	163.48	161.55	0.489567	0.510433	0.521562	0.478438	0.456241	0.400176	0.577703	0.874997	0.284934
_D:	0	146	1.55497	309	275	0	45.1988	174.98	172.79	0.487734	0.512266	0.519319	0.480681	0.456775	0.401332	0.577579	0.867319	0.279386
_D:	0	147	1.43267	283	253	0	44.9856	167.23	165.04	0.488415	0.511585	0.51989	0.48011	0.45375	0.399462	0.576017	0.877128	0.295617
_D:	0	148	1.11057	250	218	0	43.3218	165.8	163.71	0.489036	0.510964	0.523408	0.476592	0.45655	0.407193	0.577548	0.8799	0.318309
_D:	0	149	1.25203	248	212	0	44.0373	159.94	157.89	0.484678	0.515322	0.520126	0.479875	0.453056	0.410674	0.580013	0.873263	0.288415
_D:	0	150	1.42285	292	250	0	43.9096	169.37	167.33	0.486737	0.513263	0.52175	0.47825	0.45363	0.40908	0.578784	0.881383	0.309943
_D:	0	151	1.2382	260	222	0	44.137	161.05	159.02	0.48514	0.51486	0.523701	0.476299	0.455776	0.408553	0.583747	0.869877	0.288201
_D:	0	152	1.07241	254	214	0	44.1719	169.64	167.45	0.484926	0.515074	0.523603	0.476397	0.453385	0.411048	0.585691	0.876699	0.337067
_D:	0	153	1.34817	284	245	0	44.1687	163.6	161.53	0.485167	0.514833	0.528562	0.471437	0.458523	0.409847	0.591102	0.878726	0.344069
_D:	0	154	1.34237	268	226	0	43.7579	167.64	165.46	0.485271	0.514729	0.523282	0.476718	0.457422	0.408114	0.591679	0.877942	0.373657
_D:	0	155	1.47501	304	265	0	45.3807	166.8	164.77	0.484673	0.515327	0.523977	0.476023	0.457336	0.406409	0.593308	0.880204	0.357753
_D:	0	156	1.17489	275	229	0	44.2776	169.8	167.63	0.486624	0.513376	0.526688	0.473312	0.456874	0.405455	0.591252	0.885139	0.338453
_D:	0	157	1.24646	261	220	0	43.4599	169.18	166.95	0.481868	0.518132	0.519442	0.480558	0.45447	0.407854	0.590613	0.876545	0.278028
_D:	0	158	1.24698	280	240	0	43.7795	172.46	170.25	0.483339	0.516661	0.524241	0.475759	0.457439	0.405767	0.596588	0.884815	0.307466
_D:	0	159	1.3381	268	217	0	44.4531	157.55	155.51	0.482863	0.517137	0.523831	0.476169	0.457531	0.406765	0.594943	0.88427	0.330932
_D:	0	160	1.45879	317	270	0	44.6535	178.08	175.89	0.48074	0.519259	0.522146	0.477854	0.456079	0.407146	0.596252	0.883711	0.345042
_D:	0	161	1.34239	279	227	0	44.7838	161.21	159.13	0.479951	0.520049	0.522189	0.477811	0.455721	0.408783	0.595028	0.879602	0.340466
_D:	0	162	1.15019	260	205	0	44.6532	162.02	159.91	0.481512	0.518488	0.524651	0.475349	0.4548	0.406723	0.597492	0.87863	0.327172
_D:	0	163	1.39362	298	246	0	45.002	175.57	173.44	0.483262	0.516738	0.526642	0.473358	0.455366	0.405809	0.593715	0.875039	0.328367
_D:	0	164	1.2369	264	228	0	44.1912	168.63	166.36	0.480618	0.519382	0.520197	0.479803	0.453824	0.404956	0.595241	0.875793	0.345783
_D:	0	165	1.22345	289	233	0	44.5445	171.46	169.34	0.481231	0.51877	0.522801	0.477199	0.453797	0.404965	0.593133	0.886433	0.303123
_D:	0	166	1.12086	247	211	0	44.1352	162.61	160.61	0.480421	0.519579	0.524982	0.475018	0.457083	0.404195	0.596697	0.885657	0.338801
_D:	0	167	1.12947	259	209	0	44.7051	161.54	159.49	0.480063	0.519937	0.526195	0.473805	0.458227	0.404408	0.599686	0.883876	0.348293
_D:	0	168	0.937218	238	195	0	43.9098	163.18	161.07	0.480643	0.519357	0.523795	0.476205	0.459996	0.403245	0.601777	0.881611	0.343692
_D:	0	169	1.30167	318	275	0	45.2966	180.41	178.11	0.477111	0.522888	0.523158	0.476842	0.455907	0.405241	0.58584	0.885227	0.351744
_D:	0	170	0.948378	224	182	0	44.1413	165.97	163.64	0.478203	0.521797	0.524992	0.475008	0.458753	0.403703	0.587245	0.878613	0.358439
